STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,METHODOLOGY,,MEASURE,,UNIT_MEASURE,,EXPENDITURE,,ADJUSTMENT,,TRANSFORMATION,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DURABILITY,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1996-Q3,,2.376426,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1996-Q4,,2.551985,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1997-Q1,,1.787394,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1997-Q2,,1.120448,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1997-Q3,,1.021356,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1997-Q4,,0.8294931,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1998-Q1,,1.2939,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1998-Q2,,1.66205,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1998-Q3,,1.746324,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,1998-Q4,,0.3656306,,A,,,,,,,,2,
