STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1970-Q1,,68.0367,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1970-Q2,,68.19401,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1970-Q3,,68.12877,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1970-Q4,,67.86086,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1971-Q1,,68.1834,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1971-Q2,,67.96787,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1971-Q3,,67.63776,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1971-Q4,,67.50574,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1972-Q1,,67.40157,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1972-Q2,,67.1394,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1972-Q3,,67.28274,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1972-Q4,,67.49938,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1973-Q1,,68.06412,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1973-Q2,,67.49555,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1973-Q3,,67.65199,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1973-Q4,,67.80405,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1974-Q1,,67.27058,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1974-Q2,,67.16151,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1974-Q3,,66.5674,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1974-Q4,,66.41552,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1975-Q1,,66.02417,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1975-Q2,,66.05462,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1975-Q3,,66.13414,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1975-Q4,,66.03852,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1976-Q1,,66.21677,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1976-Q2,,65.79433,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1976-Q3,,66.17656,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1976-Q4,,66.17185,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1977-Q1,,66.29132,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1977-Q2,,66.38865,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1977-Q3,,66.46352,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1977-Q4,,66.56928,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1978-Q1,,66.60194,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1978-Q2,,66.87008,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1978-Q3,,66.59553,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1978-Q4,,66.80249,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1979-Q1,,66.95687,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1979-Q2,,67.06227,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1979-Q3,,67.08804,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1979-Q4,,67.13219,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1980-Q1,,67.01284,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1980-Q2,,67.05974,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1980-Q3,,67.28288,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1980-Q4,,67.05943,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1981-Q1,,67.05923,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1981-Q2,,67.10987,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1981-Q3,,67.15071,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1981-Q4,,67.24102,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1982-Q1,,67.384,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1982-Q2,,67.26647,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1982-Q3,,67.08992,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1982-Q4,,67.48735,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1983-Q1,,67.74454,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1983-Q2,,67.76732,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1983-Q3,,67.74997,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1983-Q4,,67.61839,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1984-Q1,,67.35136,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1984-Q2,,67.48326,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1984-Q3,,67.58518,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1984-Q4,,67.66636,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),,I,JPN,,EMP_WAP,,PT_WAP_SUB,,_Z,,Y,,_T,,Y15T64,,_Z,,Q,,1985-Q1,,67.53849,,,,A,,0,,1,
