DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,FIN,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q3,0.96793,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,ITA,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q3,0.85537,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUT,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q3,0.87514,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,DEU,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q3,0.87331,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,FIN,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q4,0.97079,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,ITA,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q4,0.86089,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUT,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q4,0.87939,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,DEU,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2004-Q4,0.87283,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,FIN,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2005-Q1,0.97852,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,ITA,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2005-Q1,0.86199,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUT,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2005-Q1,0.8806,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,DEU,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2005-Q1,0.87585,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,FIN,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2005-Q2,0.98355,,,F,1,A,0,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,ITA,S1,S1,PPP_B1GQ,_Z,_Z,_Z,XDC_USD,V,N,T0102,2005-Q2,0.85775,,,F,1,A,0,EUR
