spez,fake_treat,country,gewicht
Haupt (J=7),2009,AUT,0.891
Haupt (J=7),2009,ITA,0.109
Haupt (J=7),2009,DNK,0
Haupt (J=7),2009,FIN,0
Haupt (J=7),2009,ISL,0
Haupt (J=7),2009,NOR,0
Haupt (J=7),2009,SWE,0
Haupt (J=7),2010,AUT,0.902
Haupt (J=7),2010,ITA,0.098
Haupt (J=7),2010,DNK,0
Haupt (J=7),2010,FIN,0
Haupt (J=7),2010,ISL,0
Haupt (J=7),2010,NOR,0
Haupt (J=7),2010,SWE,0
Haupt (J=7),2011,AUT,0.918
Haupt (J=7),2011,ITA,0.082
Haupt (J=7),2011,DNK,0
Haupt (J=7),2011,FIN,0
Haupt (J=7),2011,ISL,0
Haupt (J=7),2011,NOR,0
Haupt (J=7),2011,SWE,0
Haupt (J=7),2012,AUT,0.944
Haupt (J=7),2012,ITA,0.056
Haupt (J=7),2012,DNK,0
Haupt (J=7),2012,FIN,0
Haupt (J=7),2012,ISL,0
Haupt (J=7),2012,NOR,0
Haupt (J=7),2012,SWE,0
Haupt (J=7),2013,AUT,0.96
Haupt (J=7),2013,ITA,0.04
Haupt (J=7),2013,DNK,0
Haupt (J=7),2013,FIN,0
Haupt (J=7),2013,ISL,0
Haupt (J=7),2013,NOR,0
Haupt (J=7),2013,SWE,0
