t,date,deutschland,synthetisch,gap,spez,t_fake,date_fake
1,2005,65.19444,66.04262550005043,-0.8481855000504339,Haupt (J=7),17,2009
2,2005.25,65.19944,66.15537218146768,-0.9559321814676878,Haupt (J=7),17,2009
3,2005.5,65.5234,66.47626398955043,-0.9528639895504369,Haupt (J=7),17,2009
4,2005.75,65.89368,66.60733195387078,-0.7136519538707802,Haupt (J=7),17,2009
5,2006,66.40794,66.86125146258019,-0.4533114625801886,Haupt (J=7),17,2009
6,2006.25,66.9909,67.34066614850099,-0.34976614850098997,Haupt (J=7),17,2009
7,2006.5,67.47513,67.72118366513739,-0.24605366513739568,Haupt (J=7),17,2009
8,2006.75,67.7817,67.84668008069562,-0.06498008069561934,Haupt (J=7),17,2009
9,2007,68.48769,68.28730868748895,0.2003813125110554,Haupt (J=7),17,2009
10,2007.25,68.81258,68.43204623048356,0.3805337695164326,Haupt (J=7),17,2009
11,2007.5,69.18359,68.94672826992569,0.23686173007430966,Haupt (J=7),17,2009
12,2007.75,69.36181,68.9104203569474,0.4513896430526074,Haupt (J=7),17,2009
13,2008,69.81321,69.48003674275338,0.33317325724661373,Haupt (J=7),17,2009
14,2008.25,69.80685,69.65247839278148,0.15437160721852194,Haupt (J=7),17,2009
15,2008.5,70.35694,69.31095409788452,1.0459859021154756,Haupt (J=7),17,2009
16,2008.75,70.43853,69.43494684157339,1.0035831584266077,Haupt (J=7),17,2009
17,2009,69.24348,69.08916301920101,0.15431698079899547,Haupt (J=7),17,2009
18,2009.25,69.34557,68.86309725658388,0.48247274341611046,Haupt (J=7),17,2009
19,2009.5,69.180179999999993,68.70110644519362,0.4790735548063765,Haupt (J=7),17,2009
20,2009.75,69.81895,68.84697896681585,0.9719710331841469,Haupt (J=7),17,2009
21,2010,69.90231,68.94322149931975,0.9590885006802523,Haupt (J=7),17,2009
22,2010.25,70.25742,69.02181496592375,1.2356050340762437,Haupt (J=7),17,2009
23,2010.5,70.44604,69.22168344048721,1.2243565595127848,Haupt (J=7),17,2009
24,2010.75,70.65646,69.59202585653911,1.0644341434608862,Haupt (J=7),17,2009
25,2011,71.21901,69.32501181901164,1.893998180988362,Haupt (J=7),17,2009
26,2011.25,71.75304,69.48315953540411,2.269880464595886,Haupt (J=7),17,2009
27,2011.5,71.83925,69.70312886400168,2.136121135998323,Haupt (J=7),17,2009
28,2011.75,72.25014,69.42516548074356,2.8249745192564433,Haupt (J=7),17,2009
29,2012,71.77687,69.58193574715288,2.194934252847119,Haupt (J=7),17,2009
30,2012.25,71.98163,69.85012378294489,2.1315062170551045,Haupt (J=7),17,2009
31,2012.5,72.06743,69.7511436155233,2.3162863844766974,Haupt (J=7),17,2009
32,2012.75,72.14242,69.74501714622049,2.3974028537795107,Haupt (J=7),17,2009
33,2013,72.18745,69.5123841404058,2.6750658595941985,Haupt (J=7),17,2009
34,2013.25,72.47523,69.85883048311422,2.616399516885778,Haupt (J=7),17,2009
35,2013.5,72.39938,69.69133453316248,2.7080454668375182,Haupt (J=7),17,2009
36,2013.75,72.46141,69.42146594557197,3.039944054428034,Haupt (J=7),17,2009
37,2014,72.45598,69.25657965431601,3.1994003456839835,Haupt (J=7),17,2009
38,2014.25,72.56773,69.55586090404664,3.011869095953358,Haupt (J=7),17,2009
39,2014.5,72.71888,69.26946947099157,3.449410529008432,Haupt (J=7),17,2009
40,2014.75,72.56651,69.35754042674571,3.2089695732542793,Haupt (J=7),17,2009
41,2015,72.70757,69.39021354746848,3.317356452531527,Haupt (J=7),17,2009
42,2015.25,72.51051,69.27616597838292,3.2343440216170762,Haupt (J=7),17,2009
43,2015.5,72.63437,69.5496911002125,3.084678899787505,Haupt (J=7),17,2009
44,2015.75,72.76231,69.63081320198557,3.1314967980144246,Haupt (J=7),17,2009
45,2016,72.93954,69.67352407574256,3.266015924257431,Haupt (J=7),17,2009
46,2016.25,72.98755,69.89676368010626,3.0907863198937378,Haupt (J=7),17,2009
47,2016.5,73.40736,70.11088628727151,3.296473712728485,Haupt (J=7),17,2009
48,2016.75,73.49681,70.16949766277608,3.3273123372239155,Haupt (J=7),17,2009
49,2017,73.41237,70.23467133808732,3.1776986619126717,Haupt (J=7),17,2009
50,2017.25,73.58966,70.66246461262966,2.9271953873703325,Haupt (J=7),17,2009
51,2017.5,73.71687,70.51500138409936,3.2018686159006364,Haupt (J=7),17,2009
52,2017.75,73.96725,71.00130949574736,2.965940504252643,Haupt (J=7),17,2009
53,2018,74.04164,71.12505036322769,2.916589636772315,Haupt (J=7),17,2009
54,2018.25,74.02095,71.54931886106561,2.4716311389343844,Haupt (J=7),17,2009
55,2018.5,74.28933,71.46408913378885,2.8252408662111606,Haupt (J=7),17,2009
56,2018.75,74.40572,71.59169246965719,2.8140275303428126,Haupt (J=7),17,2009
57,2019,74.73882,71.82107068942686,2.917749310573143,Haupt (J=7),17,2009
58,2019.25,74.89684,71.97040031348192,2.92643968651808,Haupt (J=7),17,2009
