t,date,deutschland,synthetisch,gap,ausgeschlossen
1,2005,65.19444,69.28624890951737,-4.091808909517368,AUT
2,2005.25,65.19944,69.58038897393288,-4.380948973932888,AUT
3,2005.5,65.5234,69.5513393941842,-4.027939394184202,AUT
4,2005.75,65.89368,69.93254007062565,-4.0388600706256454,AUT
5,2006,66.40794,70.08027574755945,-3.6723357475594582,AUT
6,2006.25,66.9909,70.21273510506042,-3.2218351050604213,AUT
7,2006.5,67.47513,70.59827990329221,-3.123149903292216,AUT
8,2006.75,67.7817,70.7746764279426,-2.992976427942594,AUT
9,2007,68.48769,70.98280533694735,-2.49511533694735,AUT
10,2007.25,68.81258,71.18485332562486,-2.3722733256248603,AUT
11,2007.5,69.18359,71.55941983491198,-2.3758298349119826,AUT
12,2007.75,69.36181,71.58401486607872,-2.2222048660787124,AUT
13,2008,69.81321,71.66365221217178,-1.8504422121717852,AUT
14,2008.25,69.80685,71.61347446720644,-1.806624467206447,AUT
15,2008.5,70.35694,71.53556474645683,-1.1786247464568333,AUT
16,2008.75,70.43853,70.98780185789087,-0.5492718578908722,AUT
17,2009,69.24348,69.71537826142263,-0.4718982614226235,AUT
18,2009.25,69.34557,69.06646342850783,0.27910657149216433,AUT
19,2009.5,69.180179999999993,68.48969635619318,0.6904836438068145,AUT
20,2009.75,69.81895,68.3877776234098,1.4311723765901974,AUT
21,2010,69.90231,68.29321014917562,1.6090998508243786,AUT
22,2010.25,70.25742,68.59310201258961,1.664317987410385,AUT
23,2010.5,70.44604,68.8921214707239,1.5539185292761033,AUT
24,2010.75,70.65646,69.16425246864924,1.4922075313507577,AUT
25,2011,71.21901,69.72637228248999,1.4926377175100072,AUT
26,2011.25,71.75304,69.90464284162638,1.848397158373615,AUT
27,2011.5,71.83925,70.00355800432173,1.8356919956782747,AUT
28,2011.75,72.25014,70.07099656507792,2.179143434922082,AUT
29,2012,71.77687,70.02410513734247,1.7527648626575285,AUT
30,2012.25,71.98163,70.12639360912164,1.8552363908783605,AUT
31,2012.5,72.06743,70.04088950747835,2.0265404925216473,AUT
32,2012.75,72.14242,70.01595502331963,2.126464976680367,AUT
33,2013,72.18745,70.15327177119335,2.0341782288066526,AUT
34,2013.25,72.47523,70.21677775569326,2.2584522443067385,AUT
35,2013.5,72.39938,70.44281403221193,1.956565967788066,AUT
36,2013.75,72.46141,70.6028466869041,1.8585633130958996,AUT
37,2014,72.45598,70.52709377577432,1.9288862242256783,AUT
38,2014.25,72.56773,70.65366080352071,1.9140691964792893,AUT
39,2014.5,72.71888,71.10871529559839,1.6101647044016119,AUT
40,2014.75,72.56651,70.87786465994513,1.6886453400548618,AUT
41,2015,72.70757,71.09697018910056,1.6105998108994442,AUT
42,2015.25,72.51051,71.13252689411364,1.3779831058863579,AUT
43,2015.5,72.63437,71.6342851568496,1.000084843150404,AUT
44,2015.75,72.76231,71.8523312077625,0.9099787922374958,AUT
45,2016,72.93954,71.90624719640627,1.0332928035937243,AUT
46,2016.25,72.98755,72.21410942381748,0.7734405761825229,AUT
47,2016.5,73.40736,72.19738245885068,1.209977541149314,AUT
48,2016.75,73.49681,72.37613938105804,1.1206706189419577,AUT
49,2017,73.41237,72.7646784209575,0.6476915790425011,AUT
50,2017.25,73.58966,72.64558828659979,0.9440717134002057,AUT
51,2017.5,73.71687,72.8909088462323,0.8259611537676932,AUT
52,2017.75,73.96725,73.03630524389011,0.9309447561098949,AUT
53,2018,74.04164,73.27456321256288,0.7670767874371194,AUT
54,2018.25,74.02095,73.29333306575316,0.7276169342468393,AUT
55,2018.5,74.28933,73.41906194025273,0.870268059747275,AUT
56,2018.75,74.40572,73.46347987492267,0.9422401250773333,AUT
57,2019,74.73882,73.38840415203447,1.350415847965536,AUT
58,2019.25,74.89684,73.08610454093342,1.8107354590665778,AUT
59,2019.5,74.87152,73.19224186775021,1.6792781322497916,AUT
60,2019.75,74.74255,73.35498429696682,1.3875657030331752,AUT
1,2005,65.19444,67.06655005109812,-1.8721100510981188,ITA
2,2005.25,65.19944,67.20559857107756,-2.006158571077563,ITA
3,2005.5,65.5234,67.59852996076832,-2.0751299607683222,ITA
4,2005.75,65.89368,67.69190799735702,-1.7982279973570172,ITA
5,2006,66.40794,67.91657154966761,-1.5086315496676121,ITA
6,2006.25,66.9909,68.42133773349858,-1.4304377334985787,ITA
7,2006.5,67.47513,68.88286289420749,-1.4077328942074985,ITA
8,2006.75,67.7817,69.00769566082435,-1.2259956608243527,ITA
9,2007,68.48769,69.51569120839366,-1.0280012083936612,ITA
10,2007.25,68.81258,69.64900118138594,-0.8364211813859441,ITA
