t,date,deutschland,synthetisch,gap
1,2005,65.19444,66.92681556811549,-1.7323755681154864
2,2005.25,65.19944,67.062273709026,-1.862833709026006
3,2005.5,65.5234,67.44540721197932,-1.9220072119793201
4,2005.75,65.89368,67.54390431005335,-1.6502243100533462
5,2006,66.40794,67.7725588854072,-1.3646188854071966
6,2006.25,66.9909,68.27389168910152,-1.2829916891015216
7,2006.5,67.47513,68.72437705600893,-1.2492470560089401
8,2006.75,67.7817,68.8492978869772,-1.0675978869771967
9,2007,68.48769,69.34812849079186,-0.8604384907918643
10,2007.25,68.81258,69.48299528244108,-0.6704152824410841
11,2007.5,69.18359,70.0163501895215,-0.8327601895215082
12,2007.75,69.36181,69.9938004635911,-0.6319904635910945
13,2008,69.81321,70.62129242900036,-0.8080824290003648
14,2008.25,69.80685,70.80148929734096,-0.9946392973409672
15,2008.5,70.35694,70.43003047212142,-0.07309047212142161
16,2008.75,70.43853,70.6083950494644,-0.16986504946440562
17,2009,69.24348,70.31576151417124,-1.0722815141712374
18,2009.25,69.34557,70.10556770852692,-0.7599977085269245
19,2009.5,69.180179999999993,69.9679962720515,-0.7878162720515007
20,2009.75,69.81895,70.16881958009404,-0.3498695800940368
21,2010,69.90231,70.27203042918649,-0.3697204291864864
22,2010.25,70.25742,70.36466591562363,-0.10724591562363628
23,2010.5,70.44604,70.61312281350591,-0.16708281350591392
24,2010.75,70.65646,70.99429480207627,-0.3378348020762729
25,2011,71.21901,70.67629616254682,0.5427138374531779
26,2011.25,71.75304,70.86846999078266,0.8845700092173416
27,2011.5,71.83925,71.12485646897262,0.7143935310273832
28,2011.75,72.25014,70.82584617170481,1.4242938282951911
29,2012,71.77687,70.98677943866191,0.79009056133809
30,2012.25,71.98163,71.291394343161,0.69023565683899335
31,2012.5,72.06743,71.20506007623472,0.8623699237652858
32,2012.75,72.14242,71.22315936104584,0.9192606389541567
33,2013,72.18745,71.02050190818407,1.1669480918159252
34,2013.25,72.47523,71.44802500218428,1.0272049978157156
35,2013.5,72.39938,71.26588472148701,1.1334952785129815
36,2013.75,72.46141,70.94272034666199,1.518689653338015
37,2014,72.45598,70.74883410157977,1.7071458984202224
38,2014.25,72.56773,71.08232820216269,1.4854017978373122
39,2014.5,72.71888,70.74547676678904,1.9734032332109592
40,2014.75,72.56651,70.81518286836194,1.7513271316380497
41,2015,72.70757,70.83506087676098,1.872509123239027
42,2015.25,72.51051,70.70738948111271,1.8031205188872832
43,2015.5,72.63437,70.96074981335016,1.673620186649842
44,2015.75,72.76231,71.03153070465942,1.7307792953405823
45,2016,72.93954,71.04946802837043,1.8900719716295669
46,2016.25,72.98755,71.24317558160715,1.7443744183928516
47,2016.5,73.40736,71.48175789182163,1.9256021081783672
48,2016.75,73.49681,71.53320739597969,1.9636026040203092
49,2017,73.41237,71.56412946338405,1.848240536615947
50,2017.25,73.58966,72.03801919638546,1.5516408036145322
51,2017.5,73.71687,71.8388103926242,1.8780596073758034
52,2017.75,73.96725,72.36207240094114,1.6051775990588624
53,2018,74.04164,72.48675412464775,1.5548858753522552
54,2018.25,74.02095,72.91264772260502,1.1083022773949835
55,2018.5,74.28933,72.82301276693761,1.466317233062398
56,2018.75,74.40572,72.96965079992725,1.436069200072751
57,2019,74.73882,73.18842331423785,1.550396685762152
58,2019.25,74.89684,73.33639682716412,1.5604431728358747
59,2019.5,74.87152,73.23328621195473,1.6382337880452695
60,2019.75,74.74255,73.58363443335031,1.1589155666496822
