t,date,deutschland,synthetisch,gap
1,2005,65.19444,67.00049422555496,-1.8060542255549592
2,2005.25,65.19944,67.13784377449795,-1.9384037744979565
3,2005.5,65.5234,67.52616210690564,-2.0027621069056494
4,2005.75,65.89368,67.62194735923438,-1.7282673592343798
5,2006,66.40794,67.8484973530329,-1.4405573530329008
6,2006.25,66.9909,68.35165329938505,-1.3607532993850526
7,2006.5,67.47513,68.80796939245324,-1.332839392453252
8,2006.75,67.7817,68.93284248934273,-1.1511424893427318
9,2007,68.48769,69.43652036620256,-0.9488303662025572
10,2007.25,68.81258,69.57056534345331,-0.7579853434533135
11,2007.5,69.18359,70.1054748602733,-0.921884860273309
12,2007.75,69.36181,70.08407223592728,-0.7222622359272748
13,2008,69.81321,70.71638445342285,-0.9031744534228494
14,2008.25,69.80685,70.89722782778352,-1.0903778277835272
15,2008.5,70.35694,70.52327573903574,-0.16633573903574472
16,2008.75,70.43853,70.7061697452985,-0.26763974529849577
17,2009,69.24348,70.41795859648101,-1.1744785964810092
18,2009.25,69.34557,70.20908292929555,-0.8635129292955526
19,2009.5,69.180179999999993,70.07354515243138,-0.8933651524313859
20,2009.75,69.81895,70.27894455362078,-0.4599945536207741
21,2010,69.90231,70.38273501333657,-0.4804250133365713
22,2010.25,70.25742,70.47654047749184,-0.21912047749184183
23,2010.5,70.44604,70.72904437244743,-0.2830043724474365
24,2010.75,70.65646,71.11111806258731,-0.45465806258731334
25,2011,71.21901,70.78887322500096,0.4301367749990419
26,2011.25,71.75304,70.98388319936058,0.769156800639422
27,2011.5,71.83925,71.24330338960876,0.5959466103912519
28,2011.75,72.25014,70.94254120973582,1.30759879026418
29,2012,71.77687,71.10382035883165,0.6730496411683475
30,2012.25,71.98163,71.41146910600095,0.570160893999045
31,2012.5,72.06743,71.32618947737951,0.7412405226204868
32,2012.75,72.14242,71.34630693775196,0.7961130622480397
33,2013,72.18745,71.14614616511486,1.0413038348851416
34,2013.25,72.47523,71.58042362643647,0.8948063735635259
35,2013.5,72.39938,71.39706282877668,1.0023171712233108
36,2013.75,72.46141,71.06945887688926,1.3919511231107435
37,2014,72.45598,70.87315714665935,1.5828228533406445
38,2014.25,72.56773,71.2095008823538,1.3582291176462036
39,2014.5,72.71888,70.86844676303282,1.8504332369671772
40,2014.75,72.56651,70.93662164120646,1.6298883587935364
41,2015,72.70757,70.9554334397011,1.7521365602989079
42,2015.25,72.51051,70.82662609460276,1.6838839053972379
43,2015.5,72.63437,71.07830634805262,1.5560636519473832
44,2015.75,72.76231,71.14822506618819,1.6140849338118102
45,2016,72.93954,71.1641001347174,1.7754398652825927
46,2016.25,72.98755,71.35534701411521,1.6322029858847884
47,2016.5,73.40736,71.59596674463883,1.8113932553611676
48,2016.75,73.49681,71.64681911849381,1.8499908815061872
49,2017,73.41237,71.67488810624484,1.7374818937551595
50,2017.25,73.58966,72.15261753653247,1.4370424634675203
51,2017.5,73.71687,71.94909944814233,1.7677705518576659
52,2017.75,73.96725,72.47544214851507,1.4918078514849356
53,2018,74.04164,72.60020303060867,1.441436969391333
54,2018.25,74.02095,73.026232657201,0.9947173427989924
55,2018.5,74.28933,72.93623228696907,1.3530977130309338
56,2018.75,74.40572,73.08445672909639,1.3212632709036143
57,2019,74.73882,73.30234568525002,1.4364743147499865
58,2019.25,74.89684,73.45020463024173,1.446635369758269
59,2019.5,74.87152,73.34605107907214,1.5254689209278638
60,2019.75,74.74255,73.69839674765956,1.0441532523404362
